board_state,score
00-11-1-1101,1
1001-1-10-11,1
-101-1-11-100,1
01-10-1-1-1-11,1
0010-1-11-11,-1
00-1011-1-11,1
-1-1-1-10-1-110,1
-111-1-10-100,-1
0-10-111-1-10,-1
-101-10-1110,1
0-1110100-1,-1
-1-1-10-1-101-1,1
01-11001-1-1,1
-101100-11-1,0
001-110-1-1-1,-1
0-10-1-11011,1
100001-11-1,0
-11-110-1-100,1
0-101-1-11-10,1
001-1-1101-1,1
00-11-10011,0
11001-1100,1
-1-110-10101,1
101-1-100-1-1,0
00-1-11101-1,1
010-101-101,0
-1-10-101110,1
101-1-10-110,0
00-11-1-1-110,1
0-10-101-111,1
-11-1-110-100,1
-1-11-11-100-1,1
1-110-10-1-10,-1
-1-101-1010-1,-1
-1-1-1-1-1010-1,-1
-101110-100,-1
1001-11001,1
-11000110-1,0
-1-10-1-11-110,1
0-1-1-1-1-11-10,1
1001-1-1-10-1,-1
0-11-1-11010,1
1-1010-1-10-1,-1
-11-100-1101,1
1-101-100-11,1
1-1-10-1-1-1-1-1,0
-11-110-10-1-1,1
1-1-1-1-110-10,1
0-10011101,1
-111-1100-10,1
-10-1-110101,-1
-111001-100,-1
-101-1-1-1-101,1
0101100-1-1,-1
0010-10-111,-1
0-1-1101-10-1,1
10001-11-1-1,0
-1-10010-1-11,-1
101-1-1-10-10,0
110-10-1-110,1
0-101-10-11-1,1
0-10011-1-1-1,1
01-111000-1,0
0-10-1-1-11-1-1,1
01010-1-101,0
0-110-1-110-1,-1
0-101-1-1-11-1,1
-1-10-11-1-110,1
-1-1-11-10100,-1
0-1-10-101-11,-1
110-1-11-100,1
1-1-1-1-11-100,1
-1-1110010-1,1
-1-10-10-11-11,0
-1110-10-1-1-1,1
0-10011-110,-1
1-10011-100,0
-11-1-1-1-1-10-1,0
1-10110-10-1,1
10-10-1-110-1,-1
10-1011010,0
0-1-1100-11-1,0
0-111-1-1100,1
-1-1100-1-1-1-1,0
11-10-1-1-1-10,1
-11011-100-1,1
10-101-1-10-1,-1
0-110-11-10-1,-1
00111-100-1,-1
-101-1-11100,1
01-1100-11-1,1
10010-1-11-1,1
1-100-1-1-11-1,1
1-1-10-10101,1
100-100-111,-1
0-1-11-1-1-10-1,0
-11-1-10-11-10,1
-11-1-100011,1
01011-100-1,-1
10-10-11-10-1,0
0-1-11-11-10-1,1
1-110010-1-1,-1
-100-1-11011,1
-1-1-110-10-1-1,1
1-11010-10-1,-1
0-111-1010-1,1
001-100-111,-1
10-1-1-101-10,-1
0-1-101-11-10,-1
0-1-10-11101,0
-101-1-1100-1,-1
-1001-1110-1,1
-1-1101-100-1,1
-1-1100101-1,1
0-1100-1101,-1
0011-11-100,-1
-101-101-110,1
0-1-10-1-11-11,-1
00-101011-1,-1
-1011-101-10,-1
-10-111-10-1-1,0
1-10011100,0
-1-1-11-1-10-1-1,1
1-101-10-1-1-1,1
1-1-1-1-10-1-1-1,1
-10001-1-111,1
01-1001-11-1,1
00-1-1-11-1-11,1
-1-1-1-10011-1,1
100-11-11-10,1
01-1-1-11-10-1,1
0-1-101-110-1,-1
0-1010-11-11,1
0-10-1011-1-1,1
-11-1-1-100-11,1
1-1001001-1,-1
0-1-1-10011-1,-1
1-100-1-1-1-11,1
-110101-1-10,1
-110-100-11-1,1
1-1100100-1,-1
-111-1-1-100-1,1
11-100-11-10,1
-110-10-1101,0
-10-1001011,-1
-1-1101-1-1-10,1
1-1-1-1-10-1-10,-1
1-11001-10-1,1
0-110-1-11-10,-1
1-1-1-110-10-1,1
0-1011-1-101,1
1-1-10-11100,0
-10010-1-111,1
100-1001-11,-1
110011-100,1
-1100-1-110-1,0
010-11-1001,0
011-1-10010,-1
011-1-1-1-10-1,1
001-1-11-110,1
-101-100-11-1,0
-1-1-1-110-1-1-1,0
010-11-1-1-1-1,0
01-1100011,1
1010-1010-1,-1
-11100100-1,-1
-10-111010-1,-1
0101-1-1001,0
1-1-1001-10-1,0
0-11-10-110-1,1
-101-1-10011,1
01-11000-11,0
-10011-10-11,1
-1-1100110-1,1
1-11-1-10-1-10,-1
1-1-1-1-1-1-1-10,1
-10-10-11-11-1,1
01001110-1,0
00-10111-1-1,1
-1-101-1-10-1-1,0
-111-10-10-1-1,1
-1-1-111-100-1,1
10-1-1100-1-1,-1
001-11-1001,-1
1-1-10-1-110-1,1
0-1-1-1-11-1-1-1,1
110-11-100-1,1
101-1-10001,-1
00-1001-111,-1
011-1-10-1-1-1,1
-10-11-1100-1,-1
-1-1-1-1-10-101,0
-11-1010-1-1-1,-1
-1-100111-10,0
1-11-100-10-1,-1
-110-110-10-1,0
-10-1-110011,1
-11-10-101-1-1,1
011-10-10-11,1
-1-10011100,0
-1-1-10-10-1-11,-1
-1101-1010-1,1
1-1-101-1-1-10,0
0010-1110-1,-1
1100-10-101,-1
-101011-10-1,-1
1-11010-100,-1
1-110-1-1001,-1
11-1-11000-1,1
01-11100-10,-1
0-10101-1-1-1,1
-1-1-1-10-1-1-1-1,0
1-110-1-1-1-10,0
0-1-1100101,0
0101-1-1-1-10,1
-1001-11-101,1
-1001-101-11,1
-10-11-1-110-1,1
-1-1-100-111-1,1
1-1-10-101-1-1,1
-10-11-10011,1
101-10-10-1-1,0
1100011-10,0
001-110-110,-1
-1110-11-100,1
-10-11-110-1-1,1
-10001110-1,0
01101-1-10-1,1
0-11-100-1-11,0
1-1-10-101-10,1
-11-1010-101,0
-11-1001-1-10,0
11-10-100-1-1,-1
1-11-1-10-100,-1
0-11-1-1-11-10,1
1-101-1100-1,1
-11-1-100-11-1,1
10100-1-11-1,1
-1-11001-1-10,0
-1001-1-1-1-1-1,-1
-1100100-11,-1
-11-1010100,-1
-100-1101-1-1,1
-1-1-1100-1-1-1,0
001001-11-1,-1
-10-11-101-10,-1
-110-1-10-1-11,1
-1-1-1-100-11-1,1
1-1-1-10-101-1,1
-10-10-11-101,-1
011100-101,0
101-1-10010,0
01-1110-10-1,1
110001-1-10,0
1-1011000-1,-1
-10-110011-1,-1
-1-10-11-110-1,0
-1-10011-10-1,0
-11-10-10110,1
-10100-11-11,1
0-11-11-1010,1
10-1-11-10-10,0
-11-10-1-1-1-1-1,1
-11-110001-1,1
-10-1-1-10-1-11,-1
0-10-1011-11,1
1010-11010,0
1100-11010,1
0-101101-1-1,1
-1-10011001,-1
0-1110001-1,0
0101-11001,1
0101-101-1-1,1
-10-1011-1-10,0
10-1100-1-11,1
011-11-100-1,1
10100-1011,1
0101-10011,1
01-110001-1,1
0011-100-11,0
-11-10-1-11-10,1
1-1-1-100011,1
-10-1-11001-1,0
0-10-111-10-1,-1
0-1001011-1,-1
-11011000-1,0
0-111000-11,0
-110-11010-1,1
00-1101-11-1,1
1-1-1-10010-1,-1
00-111-1-10-1,-1
1-1-1-100-11-1,1
-1010-11-1-10,1
-1-1100-1101,1
1000-11-101,-1
-101-10-1-11-1,0
0-110-111-10,1
0-11-1-1-1010,1
1-110-1-10-10,-1
-10-1110-1-1-1,1
00-111001-1,0
-10110001-1,0
-1-1011-10-10,-1
-10-1011-10-1,-1
-11-1010001,-1
00-1-111100,-1
-1100-1011-1,1
-1-110011-10,1
-11-110-1010,1
-10-1-1-11001,-1
01-1-11100-1,1
00-1-1-110-11,-1
1001-1-1001,-1
-110-11100-1,1
-110-1-1-110-1,0
1-1-10-100-11,-1
1-1-1-10100-1,1
0-1-10-111-10,0
-10-1-111001,-1
1-1-1-1-10-10-1,-1
011-1100-10,-1
10-10-1-101-1,0
1-1000-111-1,1
-1-11100100,-1
01-10-11-1-1-1,1
-1100-1-101-1,-1
-110-1-1-101-1,1
1-10001-11-1,1
1-1-110-10-10,1
0-10-110101,0
-10-1-111-1-10,0
-111-1-1-10-10,1
-1-1-10100-11,-1
1-1000-1-11-1,1
1-11-10-10-1-1,0
-101-1-1-1010,0
1010-1-110-1,1
-1101-100-1-1,1
1-1-1100-1-1-1,0
0-110-1-1110,1
001-10-1-11-1,-1
1011-10-100,-1
-1-11100-1-10,-1
0-110-10-1-11,1
1-1-1-101-100,1
01-1010-101,0
00-1011-11-1,1
1-1-1-11-10-10,1
0-10-110-1-11,0
00-1-10-11-11,-1
01011-1-1-10,1
0-1-11-100-11,0
0101-1-10-11,1
-1010-101-11,1
0-111-10-101,0
1-1-1-1001-10,-1
1-11-100-1-1-1,1
-1-111-10-100,-1
01110010-1,1
0-1-11010-1-1,1
-10-110101-1,1
01-10101-1-1,-1
0-1-10101-11,-1
-1-10-101-101,1
1-1-110-1001,1
1-1100-11-10,1
-1001-110-1-1,-1
100-1-10-111,-1
-10-101-110-1,-1
00-110-11-1-1,1
00-1-111-101,1
-1-101-10011,1
-111-1-10010,-1
-1-1-1-1-10-11-1,1
-100-101-1-11,1
-1-1-1-10-1101,1
0-11-1-11-10-1,1
-1001100-11,-1
-1-10-11-101-1,0
-1-1-110-1-10-1,1
-1-11-11-1-100,1
1100-1010-1,1
-11-100-110-1,0
-1-110-10-1-1-1,-1
-10001101-1,0
-101-11-1-1-10,0
100101-110,1
-10-11100-11,0
1000-1-1-11-1,-1
0010-11-11-1,1
-1-1-1-11-1100,0
-10-1-10-111-1,0
-1-10-1-11001,-1
00-101-1110,-1
0-10-110011,-1
-100-111-101,1
1-100-1110-1,0
-1-1-10-110-11,1
-1-1010011-1,1
00-1-1-11011,1
0-10-1101-1-1,1
-100-111-110,1
101-10-1-1-10,0
01-11-10-1-1-1,1
00-11-111-10,1
101-1-1010-1,1
-1-11001100,1
-111-100-10-1,-1
-11-10-110-1-1,1
-1-1-1101001,1
-11-1-10001-1,1
-1-10110-10-1,0
11-1-10-10-1-1,1
-101-1-10-101,-1
00101-1-101,-1
-10010011-1,-1
-1-1-1110-10-1,1
-11-1-1-1-10-1-1,1
011-1010-1-1,1
1-1001010-1,-1
110-1-1-1010,1
-10-1110-10-1,-1
-1-10-1-11100,-1
1-10-1-11010,1
010-1-110-1-1,1
-1-10100-111,1
1-10-1-1010-1,-1
-1-1-110-1100,-1
1100-1-1-1-1-1,1
-10-1-10-11-11,1
1001-11010,1
01-100-11-11,1
0100-1-1-11-1,-1
-1-1010-1-11-1,1
010-1-11100,0
-110110001,0
-1-1110-1100,1
-101-1-1-1-110,0
-11-1-1-11-100,1
1-110-1-100-1,-1
-1-1-1-11-100-1,0
1-1-101-100-1,-1
10011-1-100,-1
0-10-11-11-10,1
-10-10-1-1011,1
10-110-1-1-1-1,1
110-1-10-10-1,1
0-10-1101-11,1
-101-11-100-1,-1
01-101-1-10-1,0
001-1-1-110-1,-1
1010-10011,1
-1101-1-1-10-1,1
-1110-1-1010,1
-110-11-10-1-1,0
00-1-1110-11,1
10-1-1-1010-1,-1
01-11-1-10-10,1
-11000-1-1-11,1
1-1-110-1-100,-1
-1-1-1-110-110,1
-10-1010101,-1
0-10110-1-11,1
101-1000-11,1
10-10011-1-1,1
1-10011-1-10,0
0-10-11-1-1-11,1
-110-10-1-1-11,1
0-1-11-1100-1,-1
010-11-1-10-1,0
-11-1-10010-1,0
-1110-100-11,1
100-1-101-11,-1
0-1-101-1-11-1,1
-1-100-11110,1
0-1-1-1-10-11-1,0
0-1-110101-1,1
0-11-10110-1,1
-1000-1-111-1,-1
-1110-110-10,1
-111001-10-1,-1
1-11-10100-1,1
0-1-10-11-1-11,1
00-1-1110-1-1,-1
-101-1-1-11-10,1
11-1-1000-1-1,-1
0-1-10-1110-1,-1
01-100110-1,0
00-111-110-1,1
11-101-1-100,1
0-110-10110,-1
01-1-1-1-101-1,1
0-100-1-11-11,-1
10-1-10-11-1-1,1
1-11001-100,-1
00-1-10111-1,1
0-1-1-11-1010,-1
-10011001-1,1
00-1-111-110,1
-10-1110-101,0
1-10-11001-1,1
-1-11-1-110-10,1
-10-101-1-101,-1
01-11-1-1010,1
1-10001101,1
00-1110011,1
1-101-1-1010,1
0-10-101101,0
1-101-1-1001,1
-1100-1-1011,1
1-1-100-1-1-1-1,0
0011-1-1-10-1,-1
-10-10-110-11,-1
100-1-1-1-11-1,0
00110-1011,0
10-1-10-1-1-11,1
-11-1-10-1010,1
-1-10-11-1010,-1
-1-1-1010011,1
-1-11001-1-1-1,0
-1-1-1-1-10-1-1-1,0
-1-110-1-1-110,1
-11-10-11-10-1,1
0-1-11-1-10-1-1,0
-110-1-10-101,0
-1-1-1-1-11-10-1,1
-101-1110-10,1
001-10-11-11,1
-111010-1-10,-1
-1-1-1-11010-1,0
0-10-1-1101-1,1
-1-1-101-1001,-1
11-100-1-110,1
-11100-1-101,1
0-1-1110-10-1,0
101010-10-1,-1
-1001-1-1101,1
100-10-11-1-1,-1
-1-1-10-101-11,1
01-1-11010-1,0
001-111010,1
10-1-1-110-1-1,1
-1-101-11010,1
-100-11-1-110,1
-110-111-100,1
-1-10-1-101-1-1,-1
-10-1-10-11-1-1,0
-1-1100-1-1-11,1
-1110-1-10-1-1,1
01-10-101-11,1
0-1-111-1010,-1
0-1-1-1110-1-1,1
-100-1-1-111-1,1
-101-110-1-10,-1
1100100-1-1,-1
0-101-10-1-11,0
-1-1110-1-10-1,1
110100-10-1,-1
-1-1-10-1-11-10,0
-1-101-110-1-1,1
-11001-110-1,0
-1101100-1-1,1
-1010110-1-1,1
101-110-100,-1
1-10-10-1-110,1
01000111-1,1
-10-1-1-10101,-1
-10111-10-10,1
-1101-1-1010,1
-1-1-11-1-1-1-10,1
10101-1-10-1,-1
1010-1-1-101,1
-1110-1010-1,1
-1-11-1-101-10,1
0-11-10-1-1-1-1,0
-1-10-101-1-1-1,1
-1100-110-11,1
0-1-110110-1,1
-100-1101-11,1
-10-1001110,0
11-110-10-10,1
11010-1-1-10,1
-11-10-10101,1
1-100-1-1101,1
-10-100-11-11,-1
-1-10-101101,1
-1-1-1110-100,1
01-10011-1-1,1
110-1100-1-1,1
001-1100-11,0
01-10-10110,-1
-1110-1-1001,1
01011-1-100,-1
101-11-10-10,1
1-1-10-10-101,-1
10010-1-110,-1
-1000-11-111,1
1-1-1100-10-1,-1
00-1-1101-1-1,-1
-1-10-10-111-1,1
010-111-10-1,0
-1-1-101-101-1,1
1-1-1-101100,1
-1-11-1-100-1-1,0
1-1-1-1-1-1100,-1
011-1-110-10,1
01100-11-1-1,1
0-11-10-1-1-11,0
11001-100-1,-1
-1-101-1-1010,1
11000-1-110,1
1-1-10-10-110,1
0-111-10-1-1-1,0
-11-1-100-110,1
011-11000-1,1
011100-10-1,0
0011-1-1-1-1-1,1
-1-10-1-110-1-1,0
1100-1-1100,0
-1-10-1-101-11,-1
0-11-1-1010-1,-1
-1011-10-110,0
1000-1-11-1-1,-1
0-111-110-10,1
-101-1-10-110,0
1-1-10-10110,1
10011-100-1,-1
-11-100-1110,1
-1011-10100,-1
-1010011-1-1,1
00-110011-1,-1
1-10-1-101-1-1,1
-1-1-11-10-110,1
1-10-11-1100,1
-1-1-1010-101,-1
-110011001,1
1-1100-1010,-1
101-1-11-100,1
0011-10101,1
101011-100,1
-1-1-110-1-1-10,1
-1-1-1-1-11-1-10,1
010-110101,0
00-11-1-11-1-1,1
011-1-1010-1,1
-111-100100,-1
00-1-1101-11,1
-10101-10-11,1
00-1011-1-1-1,1
100-1-10011,-1
-1-10101-1-10,1
1100-110-1-1,1
0011-1-1001,-1
1-100-11-110,0
-1-111000-11,0
-110-11-1-100,1
0-1-1001-1-11,-1
-1-1-1-1-11001,-1
1011-1-100-1,1
-101-1010-1-1,-1
-1010100-11,-1
0100-11-101,0
-1-110-10011,1
0101-1010-1,0
0-1100-11-11,1
10-11-10001,-1
-11-10110-10,1
0-1-1-1-1-1-11-1,1
001-11-1-1-10,-1
0-100-11101,0
100-11100-1,-1
-1-1-1011010,1
0-11-1-1-10-1-1,1
-110-110001,-1
-1-1-1001-1-1-1,0
-1-1-1-1011-10,1
-11-1100-1-1-1,1
01001-1-101,0
-1-1001-1-11-1,0
-1-1-11-10001,0
0-1-110-1011,1
-1-11-1-1-1100,1
01-11-10001,0
0-110-1-1101,-1
011010-1-10,-1
11-1-10-1-100,-1
-1-100-1110-1,0
-1-1-111-10-10,1
0-10100-111,-1
0-1-1-1101-1-1,1
101-1-10100,-1
-101-10-11-1-1,1
01-110-1001,0
-1-1-1-1-1001-1,0
00-111-1-110,1
-10-10-1-111-1,1
-1-100-11-1-11,1
10-100-11-1-1,1
0-1-10011-1-1,-1
100-11-1-110,1
10-1-1-10011,1
101-1010-10,0
-1-10-101-1-11,1
-10-10111-10,0
0-1101-1-110,1
-100-11-11-1-1,1
1-10101-1-10,1
110-1-1-10-10,1
-1001001-11,-1
0-111-1-100-1,0
0-1011-10-11,1
-10001011-1,-1
-100-1-11-1-11,1
-1-1-1-10110-1,1
-101-101-1-1-1,1
01-110100-1,1
11-1010-1-10,1
10001-110-1,-1
100-1-110-11,1
0-10-1-11-110,1
001-11-1-110,0
0-1-1-10-11-11,0
-101-10-1-1-11,1
11-100100-1,-1
1-11010010,0
0-1-1-10-11-1-1,0
-10-11-1-10-11,1
10001-1-110,0
0-11-110010,-1
0-1-11-1-110-1,1
01101-1-1-10,1
010-1-1101-1,1
0110-1-1-1-1-1,1
00-10011-11,-1
101-110-10-1,-1
-1-1-1-10-1-11-1,1
0-1-111-1-100,-1
-101011-1-10,1
00-1-110110,-1
-10-110-11-1-1,1
-10-111-1-10-1,-1
010-1-101-11,0
01-1-1-11-100,1
10-1110-100,-1
-11-10-10-101,0
-110-1-11010,1
-11-10-1010-1,0
-10-1-1-1101-1,1
-110-110-1-1-1,1
11-10-1-1001,-1
1-10-1-10-1-11,1
-11-100-1-101,0
1100-11100,0
-110-1-1-10-1-1,0
0011-11010,1
-1-11-101-100,1
-1-1-1-1001-1-1,0
00-1-101-11-1,1
-1-100-1011-1,-1
1-1-11000-1-1,0
-10-111-1001,-1
-1-10-11-1001,-1
-11-10-10-1-11,1
001-1-1-1110,1
0-11-1-1-1001,-1
0-1-110-10-11,0
0-1010110-1,1
-1-10-10-1101,0
-1-110-11-1-10,1
101010-110,0
-10-1100110,-1
00-110-1-1-11,1
10-10-1-1110,1
-11-1-1-1-1100,0
-10101-1-101,-1
-1-100-1-1110,1
00-11-1-1-11-1,1
10-1-11-1-1-10,0
0110-10-101,1
00-1011101,1
0-10-1-11110,1
10100-10-11,-1
-11001-1100,0
-1-10-111-10-1,0
00-1-111001,-1
-110-10110-1,0
0-1-10-1-111-1,-1
01-10-1-11-10,-1
011-10-10-1-1,1
-10-10-11101,1
0-111-10100,-1
001-1-1-11-10,-1
10-1-1-11100,1
011010-101,1
10100-11-10,1
-1-11-100-1-1-1,0
-1-11-1-1001-1,1
-101-1-1-1-10-1,-1
100001-111,1
11001-10-10,-1
1-1-11-10-10-1,1
0-10-1-1-11-11,1
1-11100001,1
-10-11-100-11,0
0011-10-101,0
001-11100-1,-1
-1-1100-101-1,1
110-1-1-1100,1
-1-110-1-110-1,1
-1100-10-1-11,-1
0110-10110,1
10-1-1-1-101-1,0
10-11-100-11,1
-10-11100-1-1,0
1-1-11100-10,1
-11-1-110100,1
10100-1-1-1-1,1
-101-1-10-1-1-1,0
-1-111-100-10,0
0-1-1011-1-10,0
0-11-1-1-10-11,1
-1-1-10110-10,1
01-1-1-1001-1,-1
1-100-11-101,1
-1-1-1-101010,1
00-1-1-1-1101,1
-10-1-1-1011-1,1
-1100-11-1-10,0
10-1100-11-1,0
10-1-10-101-1,0
10-10-1101-1,0
1-1100-1-10-1,-1
-110-1100-11,-1
01-1-11-10-10,-1
1-100-1-110-1,0
0-1011-1-10-1,-1
-1100-1-11-1-1,1
1000-11-1-1-1,0
-111010-10-1,-1
1-1100-110-1,1
0-1-101110-1,0
-100-1-1-11-11,1
-1-100011-1-1,0
1-1-1-10-1010,0
10-1-101-1-1-1,1
-1-10011-1-10,0
0-11101-10-1,1
001-11-10-1-1,0
1-10-10-1-1-1-1,0
-1-110-1-10-1-1,-1
-111-10-1-1-10,1
-1-10010-11-1,-1
-1-100101-1-1,-1
01-1-10-1-101,0
-100-11-1011,1
0-1-1-1-11-10-1,0
01-1-1010-1-1,1
0-111-10-10-1,0
0-111-1100-1,1
0-1101-1-1-1-1,1
00-11010-11,-1
1-1001-1-110,1
-10-1-1-1-1-1-1-1,0
-1-10-1-10-111,-1
1-1-100-110-1,1
0100111-10,0
0-101-11-1-10,-1
-1-1-11-1010-1,1
00-11-1-1-101,1
00-10101-11,-1
1-10-1-1-11-10,1
-1101-10-101,0
11-10-101-10,1
10010-1-1-1-1,-1
0-100111-1-1,1
0-1010011-1,-1
01-110010-1,0
00-11001-11,-1
1011-10010,0
1000-11110,0
1011000-11,1
-100010-111,-1
0-1-1-1011-1-1,1
-10-1-101110,1
-10-1-1-11100,-1
-10-1-1-101-1-1,-1
-1-1-10-1110-1,0
1101-100-1-1,1
-10010-1-1-11,1
01-1-100011,1
-1-101-10-1-1-1,0
-11-1-11-100-1,1
-1011-10-1-1-1,0
0-1-1-1-1101-1,1
1-110-10-110,1
-1000-1-11-11,-1
1-101-1-10-10,1
11-1-100-101,1
-1-1-10-1-1-11-1,1
-1-1-1-100-1-11,0
-1001011-1-1,1
0011-10011,0
00-10-11-1-11,-1
0-11110001,0
010011-1-10,-1
00-1-1-1-1011,1
1-1-10-110-1-1,0
0-1-1-1-1-1-1-11,1
-11-1-1-110-10,1
-101101010,1
-1001-11-110,1
0-10-1-1-1101,0
01-1110-100,1
-1001-1-101-1,1
1000-110-11,-1
01-11-1100-1,1
