board_state,score
-10-11-1-1-11-1,-1
-10-1-11-101-1,0
-111-1-10010,-1
001-111-10-1,-1
10-1101-1-10,0
-10100-1-111,-1
11-1001-101,-1
11-11010-10,1
1-1100101-1,-1
011-100-11-1,1
0-1-11-1-1-101,0
1-1-10-1-11-10,0
0-111-10-110,-1
1-1-1-100110,1
0110-1-1-101,-1
00-1-11-11-1-1,-1
-1101-1001-1,1
011-10-1-11-1,1
1001-1-10-11,-1
1-10-111-1-10,-1
1000-111-1-1,-1
-1-11-1-101-10,-1
-1-1111-10-10,-1
1-11-1010-10,0
10010-1-1-11,1
101-1-1-1-110,-1
-1-11-101-1-1-1,-1
-100011-11-1,0
1-10001-111,-1
1-1-100-11-11,0
-1110-101-10,-1
1-1-1-1-1-110-1,-1
-100-11-1101,-1
-111101-100,1
-1-10-111-1-1-1,-1
-1-11-11001-1,-1
-1-1-10-11-1-1-1,0
010-1-1-11-11,-1
-1-110-110-1-1,0
0-11-1-1-1-110,-1
0-10-111-1-11,0
-10-10-1-11-11,-1
00-111-110-1,-1
0-1-1-1-11-110,-1
1-1100-1-1-11,-1
-11-1101010,1
0111-1001-1,-1
0110-11-1-10,1
-1-110-1-1-1-11,-1
-11-1011-100,0
-1-11-100-11-1,0
-1-1-110-1-110,1
1011-1-1001,-1
0-1-111001-1,-1
0-11101-1-1-1,-1
-101110001,-1
10-1-111100,-1
1000-11-1-11,-1
1-10-1-110-1-1,-1
1-11-100-11-1,-1
01-10-1-11-11,-1
-1-1011-1-1-1-1,-1
-11-1-1-10-1-11,-1
10001-11-1-1,-1
-10-11-1-1-101,-1
01001-1101,0
1-100101-1-1,-1
01-1-1-1-1101,-1
-10-1-11011-1,-1
-1-11001110,0
01-111-10-1-1,-1
1-110-11-100,-1
1011-1-10-1-1,0
11-1-1-110-10,-1
0110-1-1-110,1
-1-100-1-1-111,-1
1-10-10011-1,1
011-100-1-11,0
-10-1011110,-1
1-10101-10-1,1
-10101-1011,-1
-10-11-1-11-10,-1
0-1-1-11-1-110,-1
0-1110101-1,-1
-1-1110-11-10,-1
-111-10-1010,-1
-1-11-1-11-1-10,0
-101-111-10-1,-1
-10-11-11-110,-1
-1100-11-11-1,-1
-101-1-1-101-1,0
101001-1-1-1,0
00-111-1101,-1
0-1-1-1101-1-1,-1
-100-11-1-11-1,0
011100-1-11,0
1-1-100-1-111,-1
11001100-1,-1
-10-111-1001,-1
-10-1011101,-1
-1-10101-110,1
0011-11-110,-1
-1-111-10-110,-1
0101-1-11-1-1,0
0-1-101-1-11-1,-1
10-1-10-1-1-11,0
1-10-101101,0
011010-1-11,-1
-10-11011-1-1,1
0-1-1-10111-1,-1
0-1-1101-1-11,-1
-1-10-111-101,-1
01-1110100,-1
1010-11-110,0
-11-1-11-10-1-1,-1
1-110-1-101-1,-1
-11-110-1100,-1
-1-10-1110-1-1,-1
011-10-110-1,0
0111-110-10,1
0-1-10011-11,-1
-1-10-10-111-1,-1
0-101-1-1-111,-1
01-11-11010,-1
101-1-11-10-1,-1
-1-10-1-1-11-11,-1
1-10011-1-10,0
-1-1-1-11-1-1-10,0
-1110-1010-1,-1
10-11-1-1-10-1,-1
0-10-11110-1,0
11-1-10-1-110,-1
-10001-1-111,-1
11-101-1-1-10,-1
-110-10-11-1-1,0
101-10-1-1-1-1,0
-10-110-1110,-1
-1110100-1-1,-1
1-10-1110-10,-1
-11-1100-1-1-1,0
-110-10-1110,1
001-1110-1-1,-1
-1-1-10-11101,-1
-1-10101101,0
-11-1101001,-1
010-1-1-1011,1
01-10-1011-1,-1
10-1-101110,-1
-1010-1-1-111,-1
-1-1-1-101101,0
10-1-11010-1,-1
-1-1010-1-111,-1
001-11-10-11,0
1-1-111-1-100,-1
-1-1101-1-1-1-1,-1
0-1011-11-1-1,0
110100-1-1-1,1
1-1-1-1-11-10-1,-1
-10-1-1-11-1-1-1,-1
-1100-11011,1
1-1000-111-1,0
-11-1-10-11-10,1
-11-1-10-10-11,1
-1-111-1-10-1-1,-1
1-1-10-1-1-1-1-1,-1
0-11100011,0
1-1-1-1-11100,-1
-1-10-111010,-1
-10111-100-1,-1
-1-1-1-11001-1,-1
101-10-1110,-1
100001-111,-1
0-1-1011-1-11,0
01-1-1-10-111,-1
-1011-11100,-1
-1-11011010,0
-101-1-10011,0
011-101-10-1,-1
00-1-1-1-11-11,-1
01-1-101-1-11,-1
-1-111100-10,0
-1001-111-1-1,-1
011110-100,-1
0-1-1-111010,-1
-1011-1-1001,-1
1-1-101001-1,-1
1-110-11100,-1
1010-1-1-101,-1
1-1001-1-110,0
0-1-11-11100,-1
100-10-1-111,-1
11-1-100-1-11,-1
-1-11100011,0
-11100-1110,1
10011-1-1-10,-1
-1110-1-1100,-1
-1-1-1-1-10-11-1,-1
-100-11-111-1,0
-11001-1101,-1
01-1101-10-1,0
101-1-1-1-10-1,-1
010-1101-1-1,0
1100-10101,-1
11-11100-10,1
1-11-10001-1,0
-110-11-110-1,0
-11-10011-10,0
0111-1-100-1,0
-1-10101-1-1-1,1
00-11-1-11-1-1,1
-10-1101-1-1-1,1
1-11-10-110-1,-1
0-1-11-11010,-1
1-1-1001-1-11,-1
01-110101-1,1
10101-1-110,-1
1-10-1-10-1-11,-1
1-11-1-1-1010,-1
-11-11-10001,-1
-1110-1-1-110,-1
00110-11-11,-1
-1011-110-10,0
-1-1-1-11-1-101,-1
-10-10-1-111-1,-1
110-1-10-101,-1
01-1011100,-1
10110-101-1,0
0100111-1-1,-1
01-1-11-1-1-10,-1
-1-1-1001011,1
-1-100-1111-1,-1
-1111010-10,1
1-1001110-1,-1
1-11-100-1-1-1,0
-1-1-1-10110-1,0
-10-1101011,-1
10-110-1011,0
-1-1-1-1-11100,-1
0-1-10-1-111-1,-1
010-10-11-11,-1
101100-11-1,-1
-1-110-1-1-1-1-1,-1
1-1-100101-1,-1
1-1-101010-1,-1
110101-1-10,-1
11-1-1-1-1001,-1
0011-11-1-1-1,-1
110-1-10-11-1,1
1-1011-100-1,-1
1-10-101-11-1,-1
-11-11-1-10-1-1,-1
-1-11-101-110,0
-1-1-10-1-111-1,-1
1-1001-1-11-1,-1
0-1-11100-11,0
-1-10-1-11-11-1,-1
001110-1-1-1,-1
-10-11-10-11-1,0
100101-11-1,-1
1011100-10,0
-11-1-10-1-110,1
001-1-1-1011,0
-111-10-1-10-1,-1
-1-1-110-1-1-1-1,1
-11-1-1100-11,-1
010-1-1-1-11-1,-1
01-1-10-11-1-1,0
00-1-1-11-111,-1
0-1-1-101-1-11,-1
11-1100-1-10,-1
-10-1-1111-10,-1
1-100110-1-1,-1
1101-1-10-10,1
-10011011-1,1
1-1-1-100-1-11,0
01-1-1-101-1-1,0
-1-1-11-1-1-110,-1
0-1-1-1101-11,-1
-10-110101-1,0
01-100-111-1,1
011-100-111,0
0111-1-10-10,1
001011-110,-1
0011100-11,0
1-1-11-10-1-1-1,-1
-10-1-11110-1,-1
1-11-1-100-1-1,-1
1-10-1101-1-1,-1
-110-110-1-1-1,-1
0-11-110-110,-1
1-1011-1-100,1
0101-10-1-11,-1
-1-10-1-1110-1,0
1-11100-110,-1
00-1-10111-1,1
10-10-111-10,0
0-1011-1-110,1
1-11-10010-1,1
11-10-11010,-1
01-110011-1,-1
1-1-1-10-1-110,0
1-11-1-10-1-10,-1
10-10-1-1-111,-1
0-1010111-1,1
1-1011-1010,-1
-10-11-11001,-1
-1000111-1-1,0
-1-1-10-110-11,-1
1101-1-1-10-1,-1
1-1-10011-10,0
11-1-100-1-1-1,1
-1-1-1011-110,-1
0-1111-1-1-10,-1
-101011-1-10,-1
0-1001-1-111,1
-1-1-1-10-111-1,-1
11001-1100,0
01101-1-10-1,-1
-111-1-11-100,-1
-100110011,-1
-101-10-1-11-1,0
1100-11-1-1-1,-1
011-1-1010-1,-1
00-1101011,-1
-1-11-1-1-1001,-1
-10-1-1-1-1-1-11,-1
-11-1-11-1001,-1
001-111-1-1-1,-1
-110-11-1-101,-1
1-1-1-1001-1-1,-1
1-1-110-1-110,-1
1-1-10110-1-1,-1
0011-10-1-11,-1
-1-1011-1001,-1
00111-1-101,-1
-1-100011-11,-1
-1101-1-1-1-10,1
-101-10-1011,-1
11-1-10-10-1-1,-1
0-11-1-1011-1,-1
100101-110,-1
-1-1-1110-1-1-1,0
-110-1-101-11,-1
101-10-101-1,0
-1100110-1-1,-1
101-1-1-101-1,-1
11-10-11100,-1
-11-100-1-11-1,1
1-11-1-10001,-1
-11-1-1-10101,-1
0-11100-1-11,0
0-1-11-11-110,-1
-11-100-111-1,0
-100-10111-1,-1
-1-1-1-111-1-10,-1
10-1-1-110-1-1,-1
0101-1-1-110,1
-1-11001-110,0
1-1-1-101-10-1,1
011-11-100-1,1
-1-1010-1101,0
-1-1-1-1011-10,0
1-110-110-10,0
1-1-1-1-10110,-1
01-1010-1-11,-1
-1-1101-1-10-1,-1
0-11-1-101-11,-1
1100-1110-1,0
1-10-1-1-1-101,-1
-110-11-1001,-1
0-10-10111-1,1
-1-1-1-10-1011,1
11-101-10-1-1,-1
-1101-11-1-10,-1
-1011-1-1-101,-1
00-11-1-1011,0
-111-1-10-1-10,-1
-110101-10-1,0
1-1-1-1-11010,-1
0-11-1-10-111,-1
1-1111000-1,-1
1-1-11-1001-1,0
-1-1-11-1-1010,0
01011010-1,0
10-101-1-11-1,-1
-1-1-11-11-100,1
101-1-1-110-1,-1
-1-1-1011-1-10,0
-1-111-1100-1,-1
1-1-10-1110-1,-1
011-10-101-1,1
001-101-11-1,-1
10-1-1-11-1-10,0
100-1-1-1-111,-1
-11011-100-1,-1
1-1-1010-11-1,-1
01-1110-101,0
10100-1-1-11,1
11-1110-100,1
0-1-1-111-101,-1
001-1-11-11-1,-1
011-10-10-11,0
-10101101-1,0
101100-1-1-1,0
-1-11011-10-1,-1
-1-10-11011-1,-1
00111-1-1-10,-1
010-1-11101,0
-1-1-111-10-1-1,-1
011-110-101,-1
11-1-101-1-10,-1
-1-100111-10,0
-1-1-1-10-11-11,-1
-11010-1-110,1
101-11001-1,-1
-11-10-1-1-101,-1
00-11-111-10,1
-11-10-10110,1
-10011-1-11-1,-1
1100-1-1011,-1
1-110-11-10-1,-1
011100-11-1,0
-1-11101-1-10,1
0-1-111-1001,-1
0-10-1-111-11,0
-111-1010-10,1
01001-11-1-1,-1
00-1-11-1011,1
-1-1-1-10-1-111,-1
1-1-10-11100,-1
-10011-1110,1
10-1-1-10-1-11,-1
-111-100-1-1-1,0
10-10-111-1-1,-1
-1-100-11110,0
00-1-1-1111-1,-1
11-100-1-1-11,0
1100-1-1-101,-1
11-1010-1-1-1,-1
-110-11-1100,0
-11-10-11010,-1
-10-10-11-11-1,0
00101-1-11-1,-1
110-11-10-1-1,-1
-1111-10010,-1
-101-1-1-1110,-1
-1110-10011,1
-100-11110-1,-1
0-1-1-11101-1,-1
1010-1-1011,-1
-11-1100-11-1,0
1000-11-11-1,-1
-111100-10-1,-1
-1-1-10-1110-1,-1
0-101-1101-1,1
-1-111-110-10,0
1-10-1-10011,-1
-1-1111-100-1,-1
-100-1110-11,-1
-1-11-11-1-100,-1
1001-11-110,-1
1-1-1-100011,1
-11-110-11-10,-1
-1101001-1-1,-1
-11-1-1-11010,-1
11-1-11000-1,-1
10-1-1-1-10-11,-1
1-1-10-110-11,-1
-11-1100-101,-1
-1-1001-1-11-1,-1
11-100-11-1-1,0
11-1-1-10010,-1
1-11100-1-10,-1
-1-10010-111,-1
011-1-10101,-1
1-1-1-10-1110,-1
-110-1-10-111,-1
-110-1-11-101,-1
0-110-111-10,-1
110-1011-10,-1
-1-1-10-11-101,-1
-111-1001-10,1
-1-11-101-10-1,1
011-1-1-1-1-1-1,0
11-1-1-1-10-10,1
00110-111-1,-1
-11-1010101,-1
01-110-110-1,0
1-111-1-10-10,0
10-100-11-11,1
11-10-1100-1,-1
0-1-101011-1,-1
-11-1-100101,0
010-1-1110-1,0
1-1101-1-10-1,-1
1-10-1-1-1101,-1
10011001-1,-1
11-1-1010-1-1,-1
11-1-1-1-100-1,-1
-1-110-1-11-10,-1
101-1-10101,-1
-110-101-1-1-1,0
-1-11100-1-1-1,0
-1-1-1-1110-1-1,-1
00-10111-11,-1
1101-1100-1,1
-1-1-10-111-1-1,-1
0-11-1-1-1011,0
110-10-11-1-1,-1
1-1-10-1-1110,0
-1110-11010,-1
-1111-1-1-100,-1
0-10-11-1110,1
-111-1-10-10-1,-1
001-11-101-1,0
0-1-11-10-11-1,-1
-11-110-1010,1
-1100-11-110,-1
0-111-1-11-10,-1
1011-100-1-1,0
-1011-101-10,-1
-11-1-1-11-100,-1
10-11-10-1-11,-1
-1001-11-1-1-1,1
1-1-101-11-10,-1
0110-101-1-1,-1
0-1-111-1100,-1
0-111-11010,-1
1-11010-1-1-1,-1
11-10-110-10,-1
-1-110-1-1-101,-1
10-1-1-11-10-1,-1
-1-1110-110-1,0
1101-1-1-1-10,1
-1101-11100,-1
10-110-1-1-11,0
1-11-10-1-110,-1
0-11-1-1-11-1-1,-1
10-1-11-1-110,0
-1-101-1-11-10,1
101-10-1011,-1
110011-10-1,-1
-1-11-11-1001,-1
-10-110-11-11,-1
-1-10-101-11-1,1
001-10-111-1,-1
-1-101-11-101,-1
0-1-1011-110,-1
1011010-1-1,0
0101-11010,-1
101-1-1001-1,0
10-1-1-1-1101,-1
110-1-1-1-10-1,0
-11-11001-1-1,-1
10100-1011,-1
100-1-1-1-11-1,-1
-10-1011-1-1-1,0
-1-11010-11-1,-1
-1-110-10011,1
-11-110-10-11,-1
0-10-111110,-1
0-1-1-1011-1-1,1
-1-11-1-10-11-1,-1
-1-1-1-11-101-1,-1
1-110-101-10,-1
-1101-110-1-1,-1
10-1-11-11-10,-1
10-1-1-11-101,-1
1-11-101010,-1
-1110010-1-1,-1
-100-111-1-1-1,-1
1-11-1100-10,0
01111-10-10,-1
-1-11-1-1-1-101,-1
11-1-1-1-1-100,0
-11-1-1-10-110,1
-1-1-11-101-10,-1
1-111-10001,-1
11-10-1-110-1,-1
-1001101-1-1,1
-1-11100101,0
00-11-111-1-1,1
-1-1-1-10101-1,1
1100-11100,0
-100-1101-11,-1
-1-110-101-1-1,-1
0111-1-1-100,1
00111001-1,0
-10111-1010,-1
0-1-1110-110,-1
11-10-10101,-1
1-1-1-1-1-1-101,-1
-10110-1-1-11,-1
001-1-1-1-11-1,-1
1101-1-1-100,1
0-1-11-11-10-1,-1
00-111-1-1-11,-1
100-1-11101,-1
-1101100-11,-1
1-11100-10-1,-1
0-11011-1-1-1,-1
100-11-1110,0
-100011011,-1
1-11-1100-1-1,-1
1-1100-1011,-1
-1-11-1-1-1100,-1
1-1-1-1-11-1-10,-1
1-10-1-1110-1,-1
11-100-1-101,0
101-100-1-11,1
0111010-1-1,-1
110-1-1-1-110,0
-1110100-11,-1
-1111-100-1-1,-1
-1-1-10-1-1-11-1,-1
0-10-1-111-1-1,0
01-1-1001-11,0
010-11-1-1-11,-1
10-111-1-10-1,-1
10011-1-110,-1
-1001-11011,1
0111-100-1-1,0
110001-11-1,0
10-1001011,-1
1-10011010,-1
-1-1-110-1101,0
10-1-11-1-1-1-1,-1
101-11-10-1-1,-1
1-1-111000-1,-1
01011-1-1-10,-1
100-1-1-11-1-1,-1
-110-11-1-10-1,0
-111-10-101-1,-1
0010-1-11-11,-1
-1-11-110001,-1
1-1-10101-1-1,-1
011101-10-1,-1
0-11-10011-1,1
10-1-1-1-11-10,-1
101-10011-1,-1
1-1-1-101-1-1-1,0
-1-1-11100-11,-1
100-1-1-1110,0
0-110-11-11-1,-1
-1-1010011-1,-1
-10-1110-1-1-1,0
-110-11-10-1-1,-1
-1-110-11-1-10,0
0-111-10011,0
110-1-1001-1,1
-11-1001-101,-1
01111000-1,0
00111-1001,-1
-1-111-1-1-100,1
0011-1-11-10,-1
10-101110-1,-1
01-10-11-101,0
-11-10-101-11,-1
1-100-1-111-1,-1
01-100-1-111,1
0011-11010,-1
-1-1-11-1-1100,-1
110-101-10-1,0
0-1111-10-10,-1
-1-11-1-1-1010,0
0-1-110-1-1-11,0
-110-1-101-1-1,-1
1-11-10-1-101,-1
1-100-101-11,-1
0111-10010,-1
-1-1-10-1-1101,-1
-11-100-1-1-11,1
-111-1-1010-1,-1
1-1-10-11-110,-1
110-101-101,0
1-1-10010-11,-1
-11-1-1-100-11,-1
011-11-1-10-1,-1
-1-1-1010110,-1
01-10-1-1110,-1
-1111-100-10,-1
-1-1010-11-1-1,-1
00-111-1-110,-1
1001-11010,-1
010-11-1101,0
00-110-1-111,-1
-10-1-1-11-101,-1
0-11-111-100,-1
01-11-110-10,1
0101-101-11,-1
-10001111-1,0
10-1-1-110-11,-1
1011100-1-1,-1
1100-1-1110,0
011-1100-1-1,0
-1-101-1-1101,-1
-1-1-1-101-101,0
10-101-1-110,0
1011-10-101,-1
11-1-110-1-10,-1
010101-1-1-1,1
-11-101-10-11,-1
1-1-1-10-10-11,0
001-111-1-10,-1
0-101-111-1-1,0
01-1-111-1-10,-1
01-1100-1-11,0
-1-10-11-1-110,0
-10110011-1,-1
0011-11100,-1
101-1-11100,-1
0-1101-1-1-1-1,-1
1-11-1-1100-1,-1
-11110-1100,-1
1011-1-1-1-10,-1
101-110-10-1,-1
-11-1101-10-1,0
-1-101-11-1-10,-1
-111-10-10-11,-1
01-1-1-110-1-1,1
-1-10-1-1011-1,-1
1-11-11000-1,-1
-10-10-1-1-111,-1
0-1-11-1110-1,-1
-11000-111-1,0
00111-10-11,-1
0-1111-1-10-1,-1
0-11-1-10-11-1,-1
-1-1-101-11-10,-1
01-11-1-10-1-1,0
-1010-1-11-1-1,-1
1-10001101,0
10-1-1-1-1-110,0
-1-1-100111-1,-1
-10-10111-1-1,-1
0-1110-1011,-1
-110-111-100,0
-1-111-1-1100,-1
-11100-1-1-11,-1
1-101-1-1001,-1
-10110-1011,-1
00-10-111-11,-1
-1-100110-11,-1
1100-10-111,-1
11-10-101-1-1,-1
1101100-1-1,-1
-110-101-1-11,0
-1100-101-11,-1
01-1-1-11-110,-1
-1011-1-1-10-1,-1
0-1-1-111001,-1
00-1-11-1-1-11,0
11-11000-1-1,-1
1-101-1001-1,1
1-1110001-1,-1
1-1100-1101,1
-1-1-1101100,1
-11-11010-10,1
10-111-1-100,-1
01-1100101,0
-110011100,0
0-111-1-1-10-1,0
00-11-11-101,1
1-1-101-1010,-1
1-10001110,0
-101-10101-1,-1
1001-11-1-1-1,-1
1-11-1-1-100-1,-1
101-1-1-10-11,-1
110-1-11010,-1
-1101-101-1-1,-1
-1-1010-111-1,-1
-11110-1-100,1
10000111-1,-1
0-11-111010,-1
-10-111-10-11,-1
1-10-1-11010,-1
-110101-101,0
-110-1-1-10-11,-1
01-1011-10-1,0
-1-101-11010,-1
-10011-10-11,-1
101100-1-11,0
-11-1-1-1-1-110,-1
-10-11-1101-1,-1
00-11-1-1101,1
1-11100-1-1-1,-1
-1-11-1-1-1-1-1-1,-1
-111100100,-1
-1-1-110-11-1-1,-1
1001-1-1-110,-1
10-10-1-11-11,-1
11-100-1-1-1-1,0
00-111011-1,-1
-1011-10-1-11,-1
-101-1-11-110,-1
-110-1-11-1-1-1,-1
-1-10-110011,-1
1-100-1-11-1-1,0
001-1-1-1101,-1
0-1-1100-111,-1
-10-101-1-11-1,0
-1-10-1-1-111-1,-1
-1-101-11001,-1
010-1-11-1-1-1,0
-1-11100-101,0
0-1-1-110101,-1
0-111100-1-1,0
1-11-1-1-10-10,0
101-11-1-1-10,-1
-10-1-10-1-111,-1
-11-1-1100-1-1,-1
10-1110010,0
11-10-1-11-10,-1
-1-11-1010-1-1,-1
-101-1-1-1011,-1
-1-1-11100-1-1,0
10-1-1-1-1-1-1-1,-1
00-101-111-1,-1
0100-11-1-11,0
11-11-100-1-1,-1
0-1-101-1-1-11,0
010-1111-10,-1
10-10011-11,-1
-1-11-10-101-1,0
-1-1110-1-1-1-1,0
-1-10-1-1-1-11-1,-1
10-1010110,-1
-10-11010-11,1
-10-101-111-1,-1
10100101-1,-1
-11100-110-1,-1
0-100111-1-1,0
100100-111,-1
-1-11-100101,1
-1-110-11-10-1,-1
0-11-1-1110-1,-1
-1-101-101-11,-1
1-1-110-1-1-10,-1
01-11-1-1100,-1
011-1-1-110-1,-1
-1-1-11101-10,-1
1-1-1011-100,0
-1-11-1110-10,0
-1-101-111-10,-1
11-1-1-1001-1,-1
0-11-1-1-1101,-1
1-1-11-1-100-1,1
1-10011-1-1-1,-1
00111-1-110,-1
00-11-1-111-1,-1
1101-11-100,-1
10-1-1-10101,-1
0-11-1100-11,0
100-1-110-11,-1
-111-1-10100,-1
-1-1-1-10-1110,1
-10-10110-11,-1
100-11011-1,-1
0011-11-10-1,-1
00-1-111-110,-1
01-101-1-1-1-1,-1
11-1-1-10001,-1
010011-1-1-1,0
1-10-1-1-1-11-1,-1
10-11-1001-1,0
-10-10101-11,-1
-1000-11-111,-1
-1101-10101,-1
-11-1-11-1100,-1
100-1-111-1-1,-1
1-111000-1-1,-1
01-111010-1,-1
-111-1001-1-1,0
-101100-11-1,-1
1001-10-111,-1
0-111-11100,-1
11-10-11-100,0
1-1-11-1-10-10,1
-11-1-101100,-1
0-1-11011-1-1,1
-1-10110-1-11,-1
0-101-1-1011,1
1100-1-101-1,-1
0-10-11-11-11,0
101-10-1-1-11,0
110-1100-1-1,-1
-110001-1-11,0
-1-1-10-101-11,-1
